gender,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,Contract,PaymentMethod,TotalCharges,Churn
Male,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,113.85,Yes
Male,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),1107.2,No
Female,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Month-to-month,Electronic check,2514.5,Yes
Male,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,20.2,No
Female,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Electronic check,19.45,No
Male,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,One year,Bank transfer (automatic),3605.6,No
Female,Yes,No,66,No,No phone service,DSL,No,Yes,Yes,No,Yes,One year,Bank transfer (automatic),3027.25,No
Male,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Two year,Bank transfer (automatic),7611.85,Yes
Male,No,No,5,No,No phone service,DSL,No,No,No,No,No,Month-to-month,Mailed check,100.2,No
Female,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,One year,Electronic check,7303.05,No
Female,No,No,32,No,No phone service,DSL,Yes,No,No,No,No,One year,Mailed check,927.65,No
Male,No,No,43,Yes,Yes,Fiber optic,No,No,No,No,Yes,One year,Mailed check,3921.3,No
Male,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Credit card (automatic),1363.25,No
Male,Yes,No,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Month-to-month,Electronic check,5238.9,Yes
Female,No,No,52,Yes,No,DSL,Yes,No,Yes,Yes,No,One year,Credit card (automatic),3042.25,No
Female,No,No,43,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Month-to-month,Electronic check,3954.1,No
Female,Yes,No,37,Yes,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Electronic check,2868.15,Yes
Female,Yes,Yes,64,No,No phone service,DSL,No,Yes,No,Yes,Yes,Two year,Electronic check,3423.5,No
Male,Yes,Yes,3,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Month-to-month,Electronic check,248.4,No
Female,No,No,36,No,No phone service,DSL,Yes,No,No,No,No,Two year,Bank transfer (automatic),1126.35,No
Female,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Month-to-month,Electronic check,1064.65,Yes
Female,No,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Mailed check,835.15,No
Male,Yes,Yes,27,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Month-to-month,Credit card (automatic),2151.6,No
Female,Yes,Yes,56,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,One year,Credit card (automatic),5515.45,No
Female,No,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,112.75,No
Male,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Electronic check,229.55,Yes
Female,Yes,Yes,7,Yes,No,DSL,Yes,No,No,No,No,Month-to-month,Mailed check,350.35,No
Female,Yes,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,62.9,No
Male,No,No,33,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Two year,Electronic check,3027.65,No
Female,No,No,27,Yes,Yes,Fiber optic,No,No,Yes,No,No,Month-to-month,Electronic check,2135.5,Yes
Male,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),1723.95,No
Male,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,19.75,No
Male,No,No,71,No,No phone service,DSL,Yes,Yes,No,No,Yes,One year,Electronic check,3985.35,No
Female,No,No,13,Yes,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Electronic check,1215.65,No
Female,Yes,Yes,25,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Month-to-month,Credit card (automatic),1502.65,Yes
Male,No,No,67,Yes,No,DSL,No,No,No,Yes,No,Two year,Bank transfer (automatic),3260.1,No
Male,No,No,1,No,No phone service,DSL,No,No,No,No,No,Month-to-month,Electronic check,35.45,Yes
Male,No,No,2,Yes,No,DSL,No,No,No,No,No,Month-to-month,Electronic check,81.25,Yes
Female,No,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Credit card (automatic),1188.2,No
Female,No,No,23,Yes,No,Fiber optic,Yes,No,No,No,No,Month-to-month,Bank transfer (automatic),1778.5,No
Female,Yes,Yes,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Mailed check,1277.75,No
Male,No,Yes,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Mailed check,1170.55,No
Female,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,Mailed check,70.45,Yes
Female,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Two year,Credit card (automatic),6425.65,No
Female,No,No,8,Yes,Yes,DSL,Yes,No,No,Yes,No,Month-to-month,Electronic check,563.65,Yes
Female,Yes,No,61,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Two year,Bank transfer (automatic),5971.25,No
Male,No,No,64,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,One year,Credit card (automatic),5289.05,No
Male,Yes,No,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),1756.2,No
Female,Yes,Yes,65,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Two year,Credit card (automatic),6416.7,No
Male,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Mailed check,61.35,No
Male,No,No,1,Yes,No,DSL,No,No,No,No,No,Month-to-month,Electronic check,45.65,Yes
Male,No,Yes,30,Yes,No,DSL,No,Yes,Yes,No,Yes,One year,Credit card (automatic),1929.95,No
Male,Yes,Yes,15,Yes,No,DSL,No,Yes,Yes,Yes,No,Month-to-month,Mailed check,1071.4,No
Female,Yes,Yes,8,Yes,No,DSL,No,No,No,Yes,Yes,Month-to-month,Electronic check,564.35,No
Male,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Month-to-month,Mailed check,655.5,Yes
Female,Yes,Yes,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,One year,Credit card (automatic),7930.55,No
Male,Yes,Yes,62,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Two year,Electronic check,5215.25,No
Female,Yes,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,113.5,No
Female,Yes,Yes,14,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,Bank transfer (automatic),1152.8,No
Female,No,No,22,Yes,Yes,Fiber optic,No,No,No,No,Yes,Month-to-month,Bank transfer (automatic),1821.95,No
Male,Yes,Yes,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Mailed check,419.9,No
Male,Yes,Yes,16,Yes,No,DSL,Yes,No,Yes,No,Yes,Two year,Mailed check,1024,No
Male,No,No,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),251.6,No
Female,No,Yes,13,Yes,No,DSL,Yes,Yes,No,No,No,Month-to-month,Electronic check,764.55,No
Female,Yes,No,20,Yes,Yes,Fiber optic,Yes,No,No,No,No,Month-to-month,Electronic check,1592.35,Yes
Female,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,Electronic check,135.2,No
Male,No,No,53,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Two year,Bank transfer (automatic),3958.25,No
Female,Yes,Yes,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Mailed check,233.9,No
Male,Yes,No,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Mailed check,1363.45,No
Female,No,No,4,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,Bank transfer (automatic),273,Yes
Male,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Two year,Bank transfer (automatic),6254.45,No
Male,Yes,No,58,No,No phone service,DSL,No,Yes,Yes,No,No,Month-to-month,Electronic check,2651.2,Yes
Female,Yes,Yes,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Electronic check,321.4,No
Male,Yes,No,43,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,One year,Bank transfer (automatic),3539.25,No
Female,Yes,No,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Month-to-month,Electronic check,242.8,Yes
Male,Yes,No,14,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Two year,Mailed check,1181.75,No
Female,Yes,No,53,Yes,No,Fiber optic,No,No,Yes,No,Yes,One year,Bank transfer (automatic),5000.2,Yes
Female,No,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Bank transfer (automatic),654.55,No
Female,Yes,No,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Electronic check,780.2,No
Female,No,No,15,Yes,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Mailed check,1145.7,Yes
Female,No,No,7,Yes,No,Fiber optic,Yes,No,No,No,No,Month-to-month,Bank transfer (automatic),503.6,Yes
Female,Yes,Yes,15,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Month-to-month,Bank transfer (automatic),1559.25,No
Male,Yes,No,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Credit card (automatic),1252,No
Female,No,No,1,No,No phone service,DSL,No,Yes,No,No,No,Month-to-month,Bank transfer (automatic),29.95,Yes
Female,No,No,1,Yes,No,DSL,No,No,No,No,No,Month-to-month,Mailed check,45.3,No
Male,No,No,8,Yes,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Bank transfer (automatic),662.65,Yes
Male,Yes,Yes,33,Yes,No,DSL,Yes,No,Yes,No,Yes,One year,Credit card (automatic),2453.3,No
Female,No,No,13,Yes,No,Fiber optic,No,Yes,Yes,No,No,Month-to-month,Electronic check,1111.65,Yes
Female,Yes,No,1,No,No phone service,DSL,No,No,No,No,No,Month-to-month,Electronic check,24.8,Yes
Male,No,No,20,Yes,No,DSL,No,Yes,No,No,No,Month-to-month,Mailed check,1023.85,No
Male,No,No,3,No,No phone service,DSL,No,No,No,Yes,No,Month-to-month,Electronic check,82.15,No
Female,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Electronic check,244.8,No
Female,Yes,No,40,Yes,Yes,DSL,No,Yes,No,No,No,Month-to-month,Credit card (automatic),2379.1,No
Male,Yes,Yes,43,Yes,Yes,DSL,Yes,No,No,Yes,No,One year,Credit card (automatic),3173.35,No
Male,Yes,No,6,Yes,No,Fiber optic,No,Yes,Yes,No,No,Month-to-month,Electronic check,531,Yes
Female,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),1375.4,No
Female,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Two year,Credit card (automatic),8129.3,No
Male,Yes,Yes,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Credit card (automatic),1192.7,No
Female,Yes,No,20,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Month-to-month,Electronic check,1901.65,No
Male,Yes,Yes,24,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),587.4,No
Male,No,No,59,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Month-to-month,Electronic check,6519.75,No
Male,Yes,Yes,72,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Two year,Bank transfer (automatic),8041.65,No
Male,No,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,20.75,No
Female,Yes,No,27,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,One year,Credit card (automatic),2681.15,No
Female,No,No,14,Yes,No,Fiber optic,No,Yes,No,Yes,No,Month-to-month,Credit card (automatic),1112.3,No
Male,Yes,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Two year,Electronic check,7405.5,No
Male,No,Yes,13,Yes,No,Fiber optic,No,No,No,No,Yes,Month-to-month,Credit card (automatic),1033.95,No
Male,No,No,44,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,Credit card (automatic),2958.95,No
Female,No,No,33,Yes,No,Fiber optic,No,Yes,No,Yes,No,One year,Bank transfer (automatic),2684.85,No
Male,Yes,Yes,72,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Two year,Credit card (automatic),4179.2,No
Male,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,Electronic check,79.9,Yes
Female,No,No,19,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Month-to-month,Electronic check,1934.45,Yes
Male,Yes,No,64,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,One year,Credit card (automatic),6654.1,No
Male,No,No,2,Yes,No,DSL,No,No,No,No,No,Month-to-month,Credit card (automatic),84.5,Yes
Female,No,No,1,No,No phone service,DSL,No,No,No,No,No,Month-to-month,Electronic check,25.25,No
Male,No,Yes,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Mailed check,1124.2,No
Female,Yes,Yes,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Electronic check,540.05,No
Male,Yes,No,23,Yes,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Electronic check,1975.85,No
Female,Yes,No,57,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Month-to-month,Bank transfer (automatic),3437.45,No
Male,Yes,Yes,72,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Two year,Credit card (automatic),3139.8,No
Male,Yes,No,66,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Two year,Bank transfer (automatic),3789.2,No
Male,Yes,Yes,65,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Two year,Bank transfer (automatic),5324.5,No
Female,No,No,8,Yes,No,Fiber optic,No,No,No,No,Yes,Month-to-month,Bank transfer (automatic),624.6,No
Female,No,No,4,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,Electronic check,268.35,Yes
Female,Yes,No,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),1836.9,No
Male,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Electronic check,20.2,No
Male,Yes,No,4,Yes,No,DSL,No,No,No,Yes,No,Month-to-month,Mailed check,179.35,Yes
Female,No,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Bank transfer (automatic),219.35,No
Male,No,No,24,No,No phone service,DSL,Yes,No,No,No,Yes,One year,Mailed check,1288.75,No
Female,Yes,Yes,31,Yes,No,DSL,Yes,No,Yes,Yes,Yes,One year,Mailed check,2545.75,No
Female,Yes,No,1,Yes,No,DSL,No,No,No,No,Yes,Month-to-month,Mailed check,55.2,Yes
Male,No,No,30,Yes,Yes,Fiber optic,No,No,No,Yes,No,Month-to-month,Credit card (automatic),2723.15,No
Female,Yes,Yes,47,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Two year,Credit card (automatic),4107.25,No
Male,No,No,54,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Two year,Credit card (automatic),5760.65,No
Male,No,No,50,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Month-to-month,Credit card (automatic),4747.5,No
